x,y_obs_C1_MAPbBr50_Xraydeg_20s_01230117_0030.tif_Azm=_240.00
29.327,27.021
29.355,27.145
29.382,27.101
29.409,27.141
29.436,27.126
29.464,27.089
29.491,27.292
29.518,27.27
29.545,27.499
29.573,27.733
29.6,28.07
29.627,28.436
29.654,28.471
29.682,28.077
29.709,27.785
29.736,27.545
29.763,27.447
29.791,27.304
29.818,27.199
29.845,27.39
29.873,27.178
29.9,27.248
29.927,27.398
29.954,27.396
29.982,27.307
30.009,27.395
30.036,27.419
30.064,27.355
30.091,27.388
30.118,27.538
30.145,27.509
30.173,27.578
30.2,27.499
30.227,27.52
30.255,27.365
30.282,27.488
30.309,27.579
30.336,27.559
30.364,27.407
30.391,27.469
30.418,27.6
30.446,27.639
30.473,27.573
30.5,27.486
30.528,27.455
30.555,27.734
30.582,27.708
30.61,27.666
30.637,27.861
30.664,27.675
30.692,27.965
30.719,27.911
30.746,27.924
30.774,27.933
30.801,27.893
30.828,27.774
30.856,27.899
30.883,27.908
30.91,27.865
30.938,27.918
30.965,27.918
30.992,27.871
31.02,28.047
31.047,28
31.074,27.968
31.102,27.917
31.129,28.419
31.156,28.171
31.184,28.294
31.211,27.927
31.239,28.194
31.266,28.213
31.293,28.039
31.321,28.058
31.348,28.179
31.375,28.227
31.403,28.204
31.43,28.207
31.458,28.452
31.485,28.331
31.512,28.173
31.54,28.43
31.567,28.32
31.594,28.396
31.622,28.549
31.649,28.338
31.677,28.482
31.704,28.44
31.731,28.618
